participant,condition,value
1,A,7.936508
1,B,15.277778
1,C,0.0
1,A,9.52381
1,B,0.0
1,C,0.0
1,A,7.738095
1,B,28.174603
1,C,0.0
1,A,0.0
1,B,0.0
1,C,0.0
2,A,65.277778
2,B,38.095238
2,C,58.730159
2,A,64.484127
2,B,35.119048
2,C,39.285714
2,A,60.515873
2,B,40.674603
2,C,41.666667
2,A,62.5
2,B,66.865079
2,C,25.793651
3,A,30.952381
3,B,39.087302
3,C,52.579365
3,A,38.888889
3,B,62.698413
3,C,50.198413
3,A,59.126984
3,B,56.349206
3,C,59.325397
3,A,52.777778
3,B,51.388889
3,C,37.896825
4,A,85.31746
4,B,82.738095
4,C,89.484127
4,A,91.865079
4,B,89.68254
4,C,85.31746
4,A,71.825397
4,B,86.507937
4,C,94.444444
4,A,89.087302
4,B,100.0
4,C,74.206349
5,A,4.365079
5,B,50.0
5,C,11.111111
5,A,6.746032
5,B,17.261905
5,C,13.690476
5,A,15.277778
5,B,7.539683
5,C,6.944444
5,A,0.0
5,B,9.920635
5,C,13.293651
6,A,96.031746
6,B,91.865079
6,C,84.722222
6,A,82.539683
6,B,87.301587
6,C,85.119048
6,A,94.84127
6,B,82.936508
6,C,79.960317
6,A,93.253968
6,B,80.357143
6,C,82.936508
7,A,4.761905
7,B,6.150794
7,C,4.960317
7,A,6.746032
7,B,6.547619
7,C,0.0
7,A,0.396825
7,B,0.0
7,C,1.388889
7,A,0.0
7,B,2.380952
7,C,0.0
8,A,90.47619
8,B,18.253968
8,C,64.484127
8,A,70.634921
8,B,73.214286
8,C,60.31746
8,A,72.420635
8,B,11.706349
8,C,69.444444
8,A,82.936508
8,B,100.0
8,C,80.555556
9,A,65.873016
9,B,63.095238
9,C,10.714286
9,A,62.103175
9,B,56.547619
9,C,69.642857
9,A,58.730159
9,B,67.460317
9,C,65.873016
9,A,90.674603
9,B,66.468254
9,C,66.269841
10,A,0.0
10,B,9.126984
10,C,0.0
10,A,0.0
10,B,22.81746
10,C,0.0
10,A,29.960317
10,B,0.0
10,C,0.793651
10,A,8.134921
10,B,40.47619
10,C,0.0
11,A,0.0
11,B,0.0
11,C,0.0
11,A,0.0
11,B,3.968254
11,C,0.0
11,A,0.0
11,B,4.563492
11,C,0.0
11,A,0.0
11,B,19.84127
11,C,4.761905
14,A,0.0
14,B,0.0
14,C,0.198413
14,A,80.357143
14,B,22.02381
14,C,0.0
14,A,0.0
14,B,0.0
14,C,0.0
14,A,0.0
14,B,50.0
14,C,0.0
15,A,0.0
15,B,0.0
15,C,0.0
15,A,10.912698
15,B,0.0
15,C,0.0
15,A,0.0
15,B,0.0
15,C,0.0
15,A,0.0
15,B,0.0
15,C,0.0
16,A,58.928571
16,B,59.722222
16,C,59.325397
16,A,70.436508
16,B,55.555556
16,C,58.134921
16,A,58.928571
16,B,67.857143
16,C,59.325397
16,A,66.865079
16,B,71.825397
16,C,62.896825
17,A,38.095238
17,B,49.801587
17,C,55.555556
17,A,38.690476
17,B,46.428571
17,C,58.531746
17,A,40.674603
17,B,40.674603
