"",region,group,fertility,ppgdp,lifeExpF,pctUrban,infantMortality
Afghanistan,Asia,other,5.968,499.0,49.49,23.0,124.535
Albania,Europe,other,1.525,3677.2,80.4,53.0,16.561
Algeria,Africa,africa,2.142,4473.0,75.0,67.0,21.458
Angola,Africa,africa,5.135,4321.9,53.17,59.0,96.191
Argentina,Latin Amer,other,2.172,9162.1,79.89,93.0,12.337
Armenia,Asia,other,1.735,3030.7,77.33,64.0,24.272
Aruba,Caribbean,other,1.671,22851.5,77.75,47.0,14.687
Australia,Oceania,oecd,1.949,57118.9,84.27,89.0,4.455
Austria,Europe,oecd,1.346,45158.8,83.55,68.0,3.713
Azerbaijan,Asia,other,2.148,5637.6,73.66,52.0,37.566
Bahamas,Caribbean,other,1.877,22461.6,78.85,84.0,14.135
Bahrain,Asia,other,2.43,18184.1,76.06,89.0,6.663
Bangladesh,Asia,other,2.157,670.4,70.23,29.0,41.786
Barbados,Caribbean,other,1.575,14497.3,80.26,45.0,12.284
Belarus,Europe,other,1.479,5702.0,76.37,75.0,6.494
Belgium,Europe,oecd,1.835,43814.8,82.81,97.0,3.739
Belize,Latin Amer,other,2.679,4495.8,77.81,53.0,16.2
Benin,Africa,africa,5.078,741.1,58.66,42.0,76.674
Bhutan,Asia,other,2.258,2047.2,69.84,35.0,37.995
Bolivia,Latin Amer,other,3.229,1977.9,69.4,67.0,40.684
Bosnia and Herzegovina,Europe,other,1.134,4477.7,78.4,49.0,12.695
Botswana,Africa,africa,2.617,7402.9,51.34,62.0,35.117
Brazil,Latin Amer,other,1.8,10715.6,77.41,87.0,19.016
Brunei Darussalam,Asia,other,1.984,32647.6,80.64,76.0,4.529
Bulgaria,Europe,other,1.546,6365.1,77.12,72.0,9.149
Burkina Faso,Africa,africa,5.75,519.7,57.02,27.0,70.958
Burundi,Africa,africa,4.051,176.6,52.58,11.0,94.083
Cambodia,Asia,other,2.422,797.2,65.1,20.0,52.835
Cameroon,Africa,africa,4.287,1206.6,53.56,59.0,84.915
Canada,North America,oecd,1.691,46360.9,83.49,81.0,4.926
Cape Verde,Africa,africa,2.279,3244.0,77.7,62.0,18.458
Central African Republic,Africa,africa,4.423,450.8,51.3,39.0,95.781
Chad,Africa,africa,5.737,727.4,51.61,28.0,123.94
Chile,Latin Amer,oecd,1.832,11887.7,82.35,89.0,6.792
China,Asia,other,1.559,4354.0,75.61,48.0,19.637
